Transaction_ID,Date,Customer_ID,Customer_Segment,Region,City,Product_ID,Product,Category,Quantity,Unit_Price,Discount_Percent,Payment_Method,Sales_Channel,Customer_Rating,Delivery_Days,Gross_Sales,Discount_Amount,Net_Sales,Cost,Profit
T00001,2026-08-03,C0075,Regular,South,Bengaluru,P002,Smartphone,Electronics,4,34752.19,10.0,Cash,Mobile App,3.6,3,139008.76,13900.88,125107.88,112000,13107.88
T00002,2026-06-19,C0015,Regular,North,Jaipur,P006,Study Table,Furniture,2,7183.52,10.0,Debit Card,Website,4.0,5,14367.04,1436.7,12930.34,12400,530.34
T00003,2026-08-30,C0009,Premium,West,Ahmedabad,P002,Smartphone,Electronics,1,37413.57,25.0,Credit Card,Mobile App,3.3,4,37413.57,9353.39,28060.18,28000,60.18
T00004,2026-02-23,C0106,Regular,South,Hyderabad,P002,Smartphone,Electronics,2,31617.7,15.0,Cash,Marketplace,4.1,6,63235.4,9485.31,53750.09,56000,-2249.91
T00005,2026-02-22,C0024,Regular,West,Pune,P002,Smartphone,Electronics,1,32699.5,10.0,debit card,Mobile App,3.4,2,32699.5,3269.95,29429.55,28000,1429.55
T00006,2026-05-19,C0081,Regular,North,Delhi,P010,Air Fryer,Home Appliances,4,8162.3,0.0,Debit Card,Mobile App,3.9,3,32649.2,0.0,32649.2,28800,3849.2
T00007,2026-03-03,C0037,Regular,North,Lucknow,P009,Coffee Maker,Home Appliances,2,5307.65,10.0,Debit Card,Mobile App,4.2,4,10615.3,1061.53,9553.77,9600,-46.23
T00008,2026-01-15,C0090,Premium,West,Mumbai,P006,Study Table,Furniture,4,7522.61,10.0,Cash,Website,4.0,6,30090.44,3009.04,27081.4,24800,2281.4
T00009,2026-01-13,C0071,Regular,East,Bhubaneswar,P002,Smartphone,Electronics,3,34321.2,5.0,Net Banking,Marketplace,4.3,6,102963.6,5148.18,97815.42,84000,13815.42
T00010,2026-07-09,C0129,Regular,West,Pune,P009,Coffee Maker,Home Appliances,2,5342.23,5.0,UPI,Marketplace,2.3,5,10684.46,534.22,10150.24,9600,550.24
T00011,2026-08-21,C0113,Premium,North,Lucknow,P003,Headphones,Electronics,1,3601.4,5.0,Credit Card,Marketplace,4.0,1,3601.4,180.07,3421.33,3200,221.33
T00012,2026-08-12,C0129,Regular,South,Bengaluru,P010,Air Fryer,Home Appliances,1,9674.54,10.0,Credit Card,Mobile App,5.0,1,9674.54,967.45,8707.09,7200,1507.09
T00013,2026-04-08,C0139,Budget,East,Patna,P008,Running Shoes,Fashion,1,4468.16,5.0,UPI,Website,5.0,4,4468.16,223.41,4244.75,3500,744.75
T00014,2026-07-18,C0052,Budget,West,Ahmedabad,P003,Headphones,Electronics,3,4155.41,5.0,Credit Card,Marketplace,4.8,6,12466.23,623.31,11842.92,9600,2242.92
T00015,2026-03-01,C0113,Regular,North,Lucknow,P009,Coffee Maker,Home Appliances,1,6039.34,15.0,Net Banking,Mobile App,3.9,4,6039.34,905.9,5133.44,4800,333.44
T00016,2026-04-26,C0075,Budget,South,Hyderabad,P008,Running Shoes,Fashion,5,4618.3,15.0,Net Banking,Marketplace,4.2,3,23091.5,3463.72,19627.78,17500,2127.78
T00017,2026-06-10,C0068,Regular,North,Jaipur,P006,Study Table,Furniture,3,7787.38,5.0,Cash,Website,4.9,3,23362.14,1168.11,22194.03,18600,3594.03
T00018,2026-06-07,C0038,Budget,East,Kolkata,P006,Study Table,Furniture,2,7761.22,5.0,Debit Card,Marketplace,4.8,5,15522.44,776.12,14746.32,12400,2346.32
T00019,2026-02-04,C0049,Premium,South,Hyderabad,P005,Office Chair,Furniture,1,9945.48,5.0,Net Banking,Marketplace,1.0,5,9945.48,497.27,9448.21,7800,1648.21
T00020,2026-06-10,C0067,Premium,West,Ahmedabad,P010,Air Fryer,Home Appliances,1,8370.28,5.0,UPI,Website,3.3,7,8370.28,418.51,7951.77,7200,751.77
T00021,2026-06-25,C0039,Regular,South,Chennai,P009,Coffee Maker,Home Appliances,3,6087.33,15.0,Credit Card,Marketplace,4.3,12,18261.99,2739.3,15522.69,14400,1122.69
T00022,2026-05-23,C0092,Regular,West,Mumbai,P001,Laptop,Electronics,2,56872.79,20.0,Debit Card,Mobile App,2.8,5,113745.58,22749.12,90996.46,104000,-13003.54
T00023,2026-04-11,C0008,Budget,East,Bhubaneswar,P003,Headphones,Electronics,1,3718.02,10.0,upi,Marketplace,4.8,4,3718.02,371.8,3346.22,3200,146.22
T00024,2026-05-04,C0106,Regular,North,Jaipur,P006,Study Table,Furniture,3,7911.48,25.0,UPI,Website,5.0,3,23734.44,5933.61,17800.83,18600,-799.17
T00025,2026-02-27,C0122,Premium,South,Chennai,P010,Air Fryer,Home Appliances,4,9128.97,10.0,Credit Card,Website,4.1,5,36515.88,3651.59,32864.29,28800,4064.29
T00026,2026-03-27,C0029,Premium,South,Hyderabad,P005,Office Chair,Furniture,3,8524.49,10.0,Cash,Website,4.5,5,25573.47,2557.35,23016.12,23400,-383.88
T00027,2026-06-29,C0138,Regular,South,Chennai,P005,Office Chair,Furniture,2,9720.98,10.0,,Mobile App,5.0,5,19441.96,1944.2,17497.76,15600,1897.76
T00028,2026-06-27,C0124,Premium,East,Patna,P010,Air Fryer,Home Appliances,4,9013.17,15.0,Cash,Mobile App,3.9,5,36052.68,5407.9,30644.78,28800,1844.78
T00029,2026-09-10,C0035,Regular,West,Pune,P002,Smartphone,Electronics,1,31862.29,10.0,Credit Card,Website,3.6,6,31862.29,3186.23,28676.06,28000,676.06
T00030,2026-09-06,C0138,Regular,North,Delhi,P004,Keyboard,Electronics,5,2399.28,10.0,Debit Card,Marketplace,2.8,2,11996.4,1199.64,10796.76,11000,-203.24
T00031,2026-08-05,C0099,Premium,West,Ahmedabad,P010,Air Fryer,Home Appliances,4,8609.96,15.0,UPI,Mobile App,2.4,4,34439.84,5165.98,29273.86,28800,473.86
T00032,2026-07-25,C0128,Regular,South,Hyderabad,P004,Keyboard,Electronics,1,2913.8,0.0,Credit Card,Mobile App,2.8,3,2913.8,0.0,2913.8,2200,713.8
T00033,2026-06-30,C0042,Budget,South,Hyderabad,P003,Headphones,Electronics,5,4131.04,0.0,Credit Card,Mobile App,3.8,6,20655.2,0.0,20655.2,16000,4655.2
T00034,2026-05-21,C0137,Budget,North,Delhi,P008,Running Shoes,Fashion,3,3875.56,0.0,Credit Card,Website,3.0,4,11626.68,0.0,11626.68,10500,1126.68
T00035,2026-05-12,C0036,Regular,East,Kolkata,P004,Keyboard,Electronics,4,2938.67,25.0,Debit Card,Mobile App,2.7,7,11754.68,2938.67,8816.01,8800,16.01
T00036,2026-05-28,C0061,Budget,West,Ahmedabad,P005,Office Chair,Furniture,1,9277.36,10.0,UPI,Mobile App,3.6,1,9277.36,927.74,8349.62,7800,549.62
T00037,2026-06-09,C0061,Regular,South,Bengaluru,P009,Coffee Maker,Home Appliances,1,6432.34,0.0,Cash,Marketplace,4.1,2,6432.34,0.0,6432.34,4800,1632.34
T00038,2026-02-23,C0118,Regular,West,Pune,P002,Smartphone,Electronics,1,32466.37,25.0,UPI,Marketplace,3.4,4,32466.37,8116.59,24349.78,28000,-3650.22
T00039,2026-08-08,C0101,Budget,South,Chennai,P002,Smartphone,Electronics,2,32911.34,,Debit Card,Mobile App,2.8,5,65822.68,6582.27,59240.41,56000,3240.41
T00040,2026-07-16,C0047,Budget,West,Mumbai,P002,Smartphone,Electronics,1,37350.42,10.0,Credit Card,Marketplace,4.0,3,37350.42,3735.04,33615.38,28000,5615.38
T00041,2026-06-26,C0098,Premium,West,Ahmedabad,P002,Smartphone,Electronics,3,33119.53,25.0,UPI,Website,4.1,3,99358.59,24839.65,74518.94,84000,-9481.06
T00042,2026-03-24,C0145,Regular,South,Bengaluru,P010,Air Fryer,Home Appliances,2,9270.91,20.0,UPI,Website,4.1,5,18541.82,3708.36,14833.46,14400,433.46
T00043,2026-09-07,C0118,Budget,North,Delhi,P008,Running Shoes,Fashion,1,4033.9,0.0,Credit Card,Marketplace,5.0,8,4033.9,0.0,4033.9,3500,533.9
T00044,2026-03-07,C0075,Regular,West,Mumbai,P006,Study Table,Furniture,2,7399.98,15.0,Net Banking,Marketplace,5.0,7,14799.96,2219.99,12579.97,12400,179.97
T00045,2026-01-30,C0106,Budget,South,Hyderabad,P010,Air Fryer,Home Appliances,2,8775.2,15.0,Cash,Mobile App,4.8,4,17550.4,2632.56,14917.84,14400,517.84
T00046,2026-08-28,C0115,Regular,West,Mumbai,P010,Air Fryer,Home Appliances,2,8415.09,10.0,Debit Card,Website,3.3,5,16830.18,1683.02,15147.16,14400,747.16
T00047,2026-02-20,C0147,Budget,South,Hyderabad,P009,Coffee Maker,Home Appliances,2,6445.15,10.0,Credit Card,Website,3.9,2,12890.3,1289.03,11601.27,9600,2001.27
T00048,2026-02-16,C0121,Regular,North,Jaipur,P002,Smartphone,Electronics,2,32671.17,0.0,Debit Card,Marketplace,3.9,4,65342.34,0.0,65342.34,56000,9342.34
T00049,2026-01-14,C0028,Regular,West,Mumbai,P006,Study Table,Furniture,6,7594.25,20.0,Credit Card,Mobile App,4.4,5,45565.5,9113.1,36452.4,37200,-747.6
T00050,2026-07-11,C0119,Regular,South,Hyderabad,P001,Laptop,Electronics,4,61132.22,10.0,Credit Card,Mobile App,3.0,4,244528.88,24452.89,220075.99,208000,12075.99
T00051,2026-04-21,C0034,Regular,South,Bengaluru,P007,Backpack,Fashion,4,2186.24,0.0,UPI,Mobile App,3.0,2,8744.96,0.0,8744.96,7200,1544.96
T00052,2026-05-30,C0021,Premium,,Pune,P003,Headphones,Electronics,2,3741.42,20.0,Net Banking,Marketplace,4.1,6,7482.84,1496.57,5986.27,6400,-413.73
T00053,2026-07-13,C0079,Regular,,Ahmedabad,P009,Coffee Maker,Home Appliances,1,5405.47,15.0,Credit Card,Website,3.6,5,5405.47,810.82,4594.65,4800,-205.35
T00054,2026-05-22,C0064,Premium,South,Hyderabad,P002,Smartphone,Electronics,3,34245.59,15.0,Debit Card,Marketplace,4.6,1,102736.77,15410.52,87326.25,84000,3326.25
T00055,2026-03-25,C0065,Premium,South,Chennai,P006,Study Table,Furniture,2,7033.7,15.0,UPI,Mobile App,3.5,9,14067.4,2110.11,11957.29,12400,-442.71
T00056,2026-05-17,C0076,Regular,South,Chennai,P002,Smartphone,Electronics,4,35879.57,,UPI,Mobile App,4.8,5,143518.28,14351.83,129166.45,112000,17166.45
T00057,2026-03-19,C0062,Regular,,Delhi,P008,Running Shoes,Fashion,4,4559.75,5.0,Cash,Mobile App,3.7,8,18239.0,911.95,17327.05,14000,3327.05
T00058,2026-05-25,C0053,Budget,East,Patna,P007,Backpack,Fashion,2,2157.23,10.0,Debit Card,Mobile App,2.8,2,4314.46,431.45,3883.01,3600,283.01
T00059,2026-08-19,C0038,Budget,East,Bhubaneswar,P002,Smartphone,Electronics,4,34927.75,10.0,Cash,Website,5.0,5,139711.0,13971.1,125739.9,112000,13739.9
T00060,2026-07-03,C0015,Budget,West,Mumbai,P002,Smartphone,Electronics,2,33103.89,10.0,Cash,Mobile App,4.9,3,66207.78,6620.78,59587.0,56000,3587.0
T00061,2026-01-11,C0074,Regular,North,Lucknow,P007,Backpack,Fashion,2,2066.37,5.0,Credit Card,Marketplace,4.2,2,4132.74,206.64,3926.1,3600,326.1
T00062,2026-05-13,C0120,Premium,South,Bengaluru,P003,Headphones,Electronics,3,3968.32,0.0,Credit Card,Mobile App,3.6,4,11904.96,0.0,11904.96,9600,2304.96
T00063,2026-04-20,C0057,Regular,North,Jaipur,P010,Air Fryer,Home Appliances,5,8652.43,0.0,Debit Card,Mobile App,3.6,4,43262.15,0.0,43262.15,36000,7262.15
T00064,2026-03-16,C0038,Regular,South,Bengaluru,P001,Laptop,Electronics,2,61750.29,10.0,Credit Card,Mobile App,4.1,6,123500.58,12350.06,111150.52,104000,7150.52
T00065,2026-06-10,C0029,Regular,North,Lucknow,P002,Smartphone,Electronics,1,34007.66,10.0,Credit Card,Website,3.3,5,34007.66,3400.77,30606.89,28000,2606.89
T00066,2026-09-14,C0141,Regular,West,Mumbai,P006,Study Table,Furniture,4,7591.71,5.0,Debit Card,Website,3.9,4,30366.84,1518.34,28848.5,24800,4048.5
T00067,2026-06-24,C0113,Regular,North,Delhi,P004,Keyboard,Electronics,4,2724.95,5.0,Debit Card,Website,4.2,3,10899.8,544.99,10354.81,8800,1554.81
T00068,2026-06-27,C0135,Regular,West,Pune,P003,Headphones,Electronics,3,3809.15,0.0,UPI,Mobile App,3.5,3,11427.45,0.0,11427.45,9600,1827.45
T00069,2026-09-21,C0035,Regular,South,Chennai,P004,Keyboard,Electronics,2,2903.15,10.0,Debit Card,Marketplace,2.9,2,5806.3,580.63,5225.67,4400,825.67
T00070,2026-02-05,C0029,Regular,North,Jaipur,P002,Smartphone,Electronics,1,30440.58,5.0,Credit Card,Marketplace,3.0,6,30440.58,1522.03,28918.55,28000,918.55
T00071,2026-08-10,C0137,Regular,West,Ahmedabad,P006,Study Table,Furniture,1,7740.83,10.0,Net Banking,Website,4.1,2,7740.83,774.08,6966.75,6200,766.75
T00072,2026-02-09,C0025,Regular,West,Ahmedabad,P008,Running Shoes,Fashion,2,3801.23,5.0,Debit Card,Mobile App,4.7,6,7602.46,380.12,7222.34,7000,222.34
T00073,2026-03-17,C0087,Premium,West,Mumbai,P009,Coffee Maker,Home Appliances,2,5271.06,10.0,Cash,Website,4.6,2,10542.12,1054.21,9487.91,9600,-112.09
T00074,2026-07-09,C0122,Regular,South,Bengaluru,P007,Backpack,Fashion,1,2388.4,10.0,Credit Card,Website,3.8,4,2388.4,238.84,2149.56,1800,349.56
T00075,2026-07-06,C0039,Regular,East,Bhubaneswar,P001,Laptop,Electronics,4,62298.2,20.0,Credit Card,Website,2.9,4,249192.8,49838.56,199354.24,208000,-8645.76
T00076,2026-07-20,C0073,Premium,South,Hyderabad,P006,Study Table,Furniture,1,7526.92,10.0,UPI,Mobile App,4.5,7,7526.92,752.69,6774.23,6200,574.23
T00077,2026-01-12,C0019,Regular,South,Hyderabad,P009,Coffee Maker,Home Appliances,4,6084.33,5.0,Debit Card,Marketplace,3.1,4,24337.32,1216.87,23120.45,19200,3920.45
T00078,2026-07-17,C0025,Budget,South,Hyderabad,P008,Running Shoes,Fashion,4,4402.55,15.0,Net Banking,Website,,4,17610.2,2641.53,14968.67,14000,968.67
T00079,2026-03-23,C0116,Budget,North,Delhi,P008,Running Shoes,Fashion,1,3888.94,10.0,Credit Card,Mobile App,4.9,7,3888.94,388.89,3500.05,3500,0.05
T00080,2026-02-08,C0015,Budget,South,Bengaluru,P001,Laptop,Electronics,3,60931.84,15.0,Net Banking,Mobile App,4.7,1,182795.52,27419.33,155376.19,156000,-623.81
T00081,2026-09-08,C0013,Regular,West,Pune,P009,Coffee Maker,Home Appliances,2,5782.68,25.0,Debit Card,Website,5.0,3,11565.36,2891.34,8674.02,9600,-925.98
T00082,2026-06-26,C0003,Regular,South,Bengaluru,P008,Running Shoes,Fashion,2,4178.18,15.0,Credit Card,Website,2.7,2,8356.36,1253.45,7102.91,7000,102.91
T00083,2026-01-11,C0062,Regular,East,Patna,P010,Air Fryer,Home Appliances,4,7949.81,10.0,UPI,Mobile App,3.9,3,31799.24,3179.92,28619.32,28800,-180.68
T00084,2026-08-06,C0003,Budget,West,Pune,P007,Backpack,Fashion,2,2056.11,5.0,Credit card,Website,3.8,2,4112.22,205.61,3906.61,3600,306.61
T00085,2026-03-30,C0073,Budget,West,Pune,P010,Air Fryer,Home Appliances,5,8676.81,10.0,Cash,Website,3.8,5,43384.05,4338.4,39045.65,36000,3045.65
T00086,2026-01-25,C0005,Regular,North,Delhi,P001,Laptop,Electronics,4,56657.33,5.0,Credit Card,Mobile App,3.1,3,226629.32,11331.47,215297.85,208000,7297.85
T00087,2026-03-22,C0114,Regular,East,Bhubaneswar,P006,Study Table,Furniture,6,6879.25,20.0,Cash,Marketplace,5.0,6,41275.5,8255.1,33020.4,37200,-4179.6
T00088,2026-02-28,C0059,Premium,South,Bengaluru,P003,Headphones,Electronics,4,4144.98,15.0,Cash,Marketplace,4.7,6,16579.92,2486.99,14092.93,12800,1292.93
T00089,2026-01-31,C0023,Premium,East,Bhubaneswar,P002,Smartphone,Electronics,5,37507.54,10.0,Debit Card,Website,5.0,5,187537.7,18753.77,168783.93,140000,28783.93
T00090,2026-08-11,C0098,Regular,South,Chennai,P003,Headphones,Electronics,3,4303.74,10.0,Cash,Mobile App,4.2,3,12911.22,1291.12,11620.1,9600,2020.1
